time/s	Ewe/V	<I>/mA	cycle number
2.166188145277483E+003	-7.4269897E-001	-6.564996723321990E-001	2.000000000000000E+000
2.166254745275801E+003	-7.4245465E-001	-6.561148982393785E-001	2.000000000000000E+000
2.166321345274118E+003	-7.4217588E-001	-6.556241676166348E-001	2.000000000000000E+000
2.166388145272431E+003	-7.4174452E-001	-6.553706553686096E-001	2.000000000000000E+000
2.166454745270748E+003	-7.4138182E-001	-6.548844642509510E-001	2.000000000000000E+000
2.166521345269066E+003	-7.4109930E-001	-6.538888741836089E-001	2.000000000000000E+000
2.166588145267378E+003	-7.4076331E-001	-6.539082566657699E-001	2.000000000000000E+000
2.166654745265696E+003	-7.4038917E-001	-6.544580990814373E-001	2.000000000000000E+000
2.166721345264014E+003	-7.4017924E-001	-6.545343852835481E-001	2.000000000000000E+000
2.166788145262326E+003	-7.3986232E-001	-6.543731746903383E-001	2.000000000000000E+000
2.166854745260644E+003	-7.3962182E-001	-6.539245795267230E-001	2.000000000000000E+000
2.166921345258961E+003	-7.3918658E-001	-6.538086090563304E-001	2.000000000000000E+000
2.166988145257274E+003	-7.3869789E-001	-6.531777963580856E-001	2.000000000000000E+000
2.167054745255591E+003	-7.3846120E-001	-6.519840555968965E-001	2.000000000000000E+000
2.167121345253909E+003	-7.3808706E-001	-6.516635268476438E-001	2.000000000000000E+000
2.167188145252221E+003	-7.3780841E-001	-6.512886316302311E-001	2.000000000000000E+000
2.167254745250539E+003	-7.3746097E-001	-6.505665226285191E-001	2.000000000000000E+000
2.167321345248856E+003	-7.3720896E-001	-6.502517270897812E-001	2.000000000000000E+000
2.167388145247169E+003	-7.3685390E-001	-6.501446158052939E-001	2.000000000000000E+000
2.167454745245486E+003	-7.3646837E-001	-6.498645688111688E-001	2.000000000000000E+000
2.167521345243804E+003	-7.3623544E-001	-6.494383046634251E-001	2.000000000000000E+000
2.167587945242121E+003	-7.3585749E-001	-6.488924073308620E-001	2.000000000000000E+000
2.167654745240434E+003	-7.3550624E-001	-6.485485578157810E-001	2.000000000000000E+000
2.167721345238751E+003	-7.3519701E-001	-6.484446590400537E-001	2.000000000000000E+000
2.167787945237069E+003	-7.3485720E-001	-6.481388677643150E-001	2.000000000000000E+000
2.167854745235381E+003	-7.3436093E-001	-6.473570381661506E-001	2.000000000000000E+000
2.167921345233699E+003	-7.3395240E-001	-6.469706226691740E-001	2.000000000000000E+000
2.167987945232017E+003	-7.3373860E-001	-6.470553505816863E-001	2.000000000000000E+000
2.168054745230329E+003	-7.3337591E-001	-6.469314611819863E-001	2.000000000000000E+000
2.168121345228647E+003	-7.3315448E-001	-6.466735208862868E-001	2.000000000000000E+000
2.168187945226964E+003	-7.3291397E-001	-6.460550994671364E-001	2.000000000000000E+000
2.168254745225277E+003	-7.3232222E-001	-6.454790997577007E-001	2.000000000000000E+000
2.168321345223594E+003	-7.3197860E-001	-6.449096869125830E-001	2.000000000000000E+000
2.168387945221912E+003	-7.3163885E-001	-6.450625730065060E-001	2.000000000000000E+000
2.168454745220224E+003	-7.3133337E-001	-6.457281484302282E-001	2.000000000000000E+000
2.168521345218542E+003	-7.3099744E-001	-6.456816243261012E-001	2.000000000000000E+000
2.168587945216859E+003	-7.3073399E-001	-6.454846235920657E-001	2.000000000000000E+000
2.168654545215177E+003	-7.3041332E-001	-6.456595639447793E-001	2.000000000000000E+000
2.168721345213489E+003	-7.3011935E-001	-6.450946126357628E-001	2.000000000000000E+000
2.168787945211807E+003	-7.2984833E-001	-6.439782006502881E-001	2.000000000000000E+000
2.168854545210124E+003	-7.2951233E-001	-6.432680368783616E-001	2.000000000000000E+000
2.168921345208437E+003	-7.2921455E-001	-6.431941332587279E-001	2.000000000000000E+000
2.168987945206754E+003	-7.2879839E-001	-6.426508037705450E-001	2.000000000000000E+000
2.169054545205072E+003	-7.2842807E-001	-6.417086252273032E-001	2.000000000000000E+000
2.169121345203384E+003	-7.2796232E-001	-6.417526690715771E-001	2.000000000000000E+000
2.169187945201702E+003	-7.2763020E-001	-6.423325556642699E-001	2.000000000000000E+000
2.169254545200019E+003	-7.2730947E-001	-6.418852593603468E-001	2.000000000000000E+000
2.169321345198332E+003	-7.2699255E-001	-6.409258627029804E-001	2.000000000000000E+000
2.169387945196650E+003	-7.2677112E-001	-6.403888564815698E-001	2.000000000000000E+000
2.169454545194967E+003	-7.2637028E-001	-6.402714274080858E-001	2.000000000000000E+000
2.169521145193285E+003	-7.2614884E-001	-6.402724259209425E-001	2.000000000000000E+000
2.169587945191597E+003	-7.2576708E-001	-6.397210131567661E-001	2.000000000000000E+000
2.169654545189915E+003	-7.2520590E-001	-6.389410881117392E-001	2.000000000000000E+000
2.169721145188232E+003	-7.2491956E-001	-6.387926359911340E-001	2.000000000000000E+000
2.169787945186545E+003	-7.2462940E-001	-6.388976164610991E-001	2.000000000000000E+000
2.169854545184862E+003	-7.2448432E-001	-6.386093668347055E-001	2.000000000000000E+000
2.169921145183180E+003	-7.2430867E-001	-6.377833049823156E-001	2.000000000000000E+000
2.169987945181492E+003	-7.2396505E-001	-6.366900372577007E-001	2.000000000000000E+000
2.170054545179810E+003	-7.2340006E-001	-6.359355494695129E-001	2.000000000000000E+000
2.170121145178127E+003	-7.2309840E-001	-6.366503245880957E-001	2.000000000000000E+000
2.170187945176440E+003	-7.2296101E-001	-6.376482650458115E-001	2.000000000000000E+000
2.170254545174757E+003	-7.2261351E-001	-6.375719823866097E-001	2.000000000000000E+000
2.170321145173075E+003	-7.2219741E-001	-6.361222666916184E-001	2.000000000000000E+000
2.170387945171387E+003	-7.2176605E-001	-6.352252374930554E-001	2.000000000000000E+000
2.170454545169705E+003	-7.2146446E-001	-6.352452207187884E-001	2.000000000000000E+000
2.170521145168022E+003	-7.2094899E-001	-6.351660311762313E-001	2.000000000000000E+000
2.170587745166340E+003	-7.2061682E-001	-6.345952839289550E-001	2.000000000000000E+000
2.170654545164653E+003	-7.2036111E-001	-6.339973193335247E-001	2.000000000000000E+000
2.170721145162970E+003	-7.1997166E-001	-6.335754290088067E-001	2.000000000000000E+000
2.170787745161288E+003	-7.1961278E-001	-6.331460002325819E-001	2.000000000000000E+000
2.170854545159600E+003	-7.1947914E-001	-6.330086703760074E-001	2.000000000000000E+000
2.170921145157918E+003	-7.1916997E-001	-6.330281278157894E-001	2.000000000000000E+000
2.170987745156235E+003	-7.1879578E-001	-6.328438340357074E-001	2.000000000000000E+000
2.171054545154548E+003	-7.1845222E-001	-6.320125318794378E-001	2.000000000000000E+000
2.171121145152865E+003	-7.1811241E-001	-6.312085824070390E-001	2.000000000000000E+000
2.171187745151183E+003	-7.1778792E-001	-6.314872679753609E-001	2.000000000000000E+000
2.171254545149495E+003	-7.1743286E-001	-6.316984412540876E-001	2.000000000000000E+000
2.171321145147813E+003	-7.1695179E-001	-6.308419691832045E-001	2.000000000000000E+000
2.171387745146130E+003	-7.1650130E-001	-6.298765354646303E-001	2.000000000000000E+000
2.171454345144448E+003	-7.1633327E-001	-6.301560783674365E-001	2.000000000000000E+000
2.171521145142760E+003	-7.1631801E-001	-6.305754136249249E-001	2.000000000000000E+000
2.171587745141078E+003	-7.1607751E-001	-6.299616002964470E-001	2.000000000000000E+000
2.171654345139395E+003	-7.1559262E-001	-6.292254782515352E-001	2.000000000000000E+000
2.171721145137708E+003	-7.1519178E-001	-6.286933404135417E-001	2.000000000000000E+000
2.171787745136025E+003	-7.1474510E-001	-6.282980935451130E-001	2.000000000000000E+000
2.171854345134343E+003	-7.1447784E-001	-6.280037380777461E-001	2.000000000000000E+000
2.171921145132656E+003	-7.1414953E-001	-6.278223795704108E-001	2.000000000000000E+000
2.171987745130973E+003	-7.1375245E-001	-6.273670293773410E-001	2.000000000000000E+000
2.172054345129291E+003	-7.1353871E-001	-6.267999898631054E-001	2.000000000000000E+000
2.172121145127603E+003	-7.1316838E-001	-6.268064964966602E-001	2.000000000000000E+000
2.172187745125921E+003	-7.1279418E-001	-6.266408602276599E-001	2.000000000000000E+000
2.172254345124238E+003	-7.1245825E-001	-6.254914777516607E-001	2.000000000000000E+000
2.172321145122551E+003	-7.1204972E-001	-6.244880189019515E-001	2.000000000000000E+000
2.172387745120868E+003	-7.1190470E-001	-6.240468839144064E-001	2.000000000000000E+000
2.172454345119186E+003	-7.1159542E-001	-6.246038513241228E-001	2.000000000000000E+000
2.172520945117503E+003	-7.1127093E-001	-6.247417473000709E-001	2.000000000000000E+000
2.172587745115816E+003	-7.1084332E-001	-6.241350324757136E-001	2.000000000000000E+000
2.172654345114133E+003	-7.1053410E-001	-6.230914707990571E-001	2.000000000000000E+000
2.172720945112451E+003	-7.1015233E-001	-6.225132987218323E-001	2.000000000000000E+000
2.172787745110763E+003	-7.0977813E-001	-6.222278070018952E-001	2.000000000000000E+000
2.172854345109081E+003	-7.0952618E-001	-6.218465485601632E-001	2.000000000000000E+000
2.172920945107398E+003	-7.0917875E-001	-6.215214154871569E-001	2.000000000000000E+000
2.172987745105711E+003	-7.0884281E-001	-6.213657956525500E-001	2.000000000000000E+000
2.173054345104028E+003	-7.0854497E-001	-6.210863705488130E-001	2.000000000000000E+000
2.173120945102346E+003	-7.0820522E-001	-6.207005302351414E-001	2.000000000000000E+000
2.173187745100659E+003	-7.0761347E-001	-6.207601923540418E-001	2.000000000000000E+000
2.173254345098976E+003	-7.0719355E-001	-6.206414314195126E-001	2.000000000000000E+000
2.173320945097294E+003	-7.0695680E-001	-6.203159302743195E-001	2.000000000000000E+000
2.173387745095606E+003	-7.0662469E-001	-6.203579929578735E-001	2.000000000000000E+000
2.173454345093924E+003	-7.0634216E-001	-6.199876124044921E-001	2.000000000000000E+000
2.173520945092241E+003	-7.0612836E-001	-6.191251814545464E-001	2.000000000000000E+000
2.173587545090559E+003	-7.0593363E-001	-6.184718077636560E-001	2.000000000000000E+000
2.173654345088871E+003	-7.0553279E-001	-6.180011238678400E-001	2.000000000000000E+000
2.173720945087189E+003	-7.0502502E-001	-6.174526661184263E-001	2.000000000000000E+000
2.173787545085506E+003	-7.0476156E-001	-6.170789147431757E-001	2.000000000000000E+000
2.173854345083819E+003	-7.0440656E-001	-6.165487031979744E-001	2.000000000000000E+000
2.173920945082136E+003	-7.0406675E-001	-6.164239160603993E-001	2.000000000000000E+000
2.173987545080454E+003	-7.0367354E-001	-6.168231196994149E-001	2.000000000000000E+000
2.174054345078766E+003	-7.0334136E-001	-6.161478926618411E-001	2.000000000000000E+000
2.174120945077084E+003	-7.0296723E-001	-6.154608290721288E-001	2.000000000000000E+000
2.174187545075401E+003	-7.0252055E-001	-6.150637470703479E-001	2.000000000000000E+000
2.174254345073714E+003	-7.0227623E-001	-6.149252705186248E-001	2.000000000000000E+000
2.174320945072031E+003	-7.0208532E-001	-6.152299253602056E-001	2.000000000000000E+000
2.174387545070349E+003	-7.0185626E-001	-6.147980191196201E-001	2.000000000000000E+000
2.174454345068662E+003	-7.0142102E-001	-6.133018583059320E-001	2.000000000000000E+000
2.174520945066979E+003	-7.0094001E-001	-6.119652876681076E-001	2.000000000000000E+000
2.174587545065297E+003	-7.0070326E-001	-6.113541828541598E-001	2.000000000000000E+000
2.174654145063614E+003	-7.0051622E-001	-6.118071288140534E-001	2.000000000000000E+000
2.174720945061927E+003	-7.0011151E-001	-6.123284243316531E-001	2.000000000000000E+000
2.174787545060244E+003	-6.9977176E-001	-6.118337326539613E-001	2.000000000000000E+000
2.174854145058562E+003	-6.9943196E-001	-6.116625256048600E-001	2.000000000000000E+000
2.174920945056874E+003	-6.9897765E-001	-6.116556988423136E-001	2.000000000000000E+000
2.174987545055192E+003	-6.9865316E-001	-6.109705416097384E-001	2.000000000000000E+000
2.175054145053509E+003	-6.9831717E-001	-6.106507255951805E-001	2.000000000000000E+000
2.175120945051822E+003	-6.9814914E-001	-6.102095687963889E-001	2.000000000000000E+000
2.175187545050139E+003	-6.9782466E-001	-6.099314698639953E-001	2.000000000000000E+000
2.175254145048457E+003	-6.9750398E-001	-6.096068031838293E-001	2.000000000000000E+000
2.175320945046769E+003	-6.9729018E-001	-6.091855748231153E-001	2.000000000000000E+000
2.175387545045087E+003	-6.9691986E-001	-6.088153023013900E-001	2.000000000000000E+000
2.175454145043404E+003	-6.9649607E-001	-6.089165435816959E-001	2.000000000000000E+000
2.175520945041717E+003	-6.9601119E-001	-6.090902267809373E-001	2.000000000000000E+000
2.175587545040034E+003	-6.9562179E-001	-6.088873328038940E-001	2.000000000000000E+000
2.175654145038352E+003	-6.9529343E-001	-6.086758801944310E-001	2.000000000000000E+000
2.175720745036670E+003	-6.9508731E-001	-6.084914382130719E-001	2.000000000000000E+000
2.175787545034982E+003	-6.9477808E-001	-6.090669657092496E-001	2.000000000000000E+000
2.175854145033300E+003	-6.9447261E-001	-6.090525462548180E-001	2.000000000000000E+000
2.175920745031617E+003	-6.9427794E-001	-6.072873966571430E-001	2.000000000000000E+000
2.175987545029930E+003	-6.9394583E-001	-6.057348306997712E-001	2.000000000000000E+000
2.176054145028247E+003	-6.9340748E-001	-6.049469768820934E-001	2.000000000000000E+000
2.176120745026565E+003	-6.9294173E-001	-6.041938017862445E-001	2.000000000000000E+000
2.176187545024877E+003	-6.9286537E-001	-6.039585038480997E-001	2.000000000000000E+000
2.176254145023195E+003	-6.9269359E-001	-6.037959467248254E-001	2.000000000000000E+000
2.176320745021512E+003	-6.9216675E-001	-6.034493585007432E-001	2.000000000000000E+000
2.176387545019825E+003	-6.9153291E-001	-6.034679917326899E-001	2.000000000000000E+000
2.176454145018142E+003	-6.9121605E-001	-6.036974049406831E-001	2.000000000000000E+000
2.176520745016460E+003	-6.9099081E-001	-6.034581101192809E-001	2.000000000000000E+000
2.176587345014777E+003	-6.9071597E-001	-6.022665423208862E-001	2.000000000000000E+000
2.176654145013090E+003	-6.9052887E-001	-6.015179049537851E-001	2.000000000000000E+000
2.176720745011407E+003	-6.8991804E-001	-6.015467233168046E-001	2.000000000000000E+000
2.176787345009725E+003	-6.8972713E-001	-6.011959402582798E-001	2.000000000000000E+000
2.176854145008037E+003	-6.8955916E-001	-6.007034322583529E-001	2.000000000000000E+000
2.176920745006355E+003	-6.8922698E-001	-6.005513496989572E-001	2.000000000000000E+000
2.176987345004673E+003	-6.8879181E-001	-6.005656342852159E-001	2.000000000000000E+000
2.177054145002985E+003	-6.8849397E-001	-6.003521614405050E-001	2.000000000000000E+000
2.177120745001303E+003	-6.8810457E-001	-5.997151075173002E-001	2.000000000000000E+000
2.177187344999620E+003	-6.8777245E-001	-5.991640872465531E-001	2.000000000000000E+000
2.177254144997933E+003	-6.8743646E-001	-5.987582671714122E-001	2.000000000000000E+000
2.177320744996250E+003	-6.8694013E-001	-5.984188130975134E-001	2.000000000000000E+000
2.177387344994568E+003	-6.8657744E-001	-5.980516193136349E-001	2.000000000000000E+000
2.177454144992880E+003	-6.8614221E-001	-5.977140018738898E-001	2.000000000000000E+000
