time/s	Ewe/V	<I>/mA	cycle number
1.698115957101982E+002	-2.7690494E-001	-2.544729039025638E-003	1.000000000000000E+000
1.704782956933559E+002	-2.8018987E-001	-2.562964660241689E-003	1.000000000000000E+000
1.711449956765136E+002	-2.8350061E-001	-2.575280371477940E-003	1.000000000000000E+000
1.718115956596739E+002	-2.8680870E-001	-2.592203980098420E-003	1.000000000000000E+000
1.724781956428342E+002	-2.9015070E-001	-2.609607531826178E-003	1.000000000000000E+000
1.731447956259944E+002	-2.9351822E-001	-2.626299374229868E-003	1.000000000000000E+000
1.738113956091547E+002	-2.9685217E-001	-2.594933444080509E-003	1.000000000000000E+000
1.746112955889475E+002	-3.0085325E-001	-2.513540569390668E-003	1.000000000000000E+000
1.754113955687353E+002	-3.0486500E-001	-2.634953260871941E-003	1.000000000000000E+000
1.760779955518956E+002	-3.0815694E-001	-2.676904247471582E-003	1.000000000000000E+000
1.767445955350559E+002	-3.1153628E-001	-2.698377069695904E-003	1.000000000000000E+000
1.774111955182161E+002	-3.1493074E-001	-2.719535673525481E-003	1.000000000000000E+000
1.781444954996914E+002	-3.1863952E-001	-2.655698171965357E-003	1.000000000000000E+000
1.789444954794817E+002	-3.2262540E-001	-2.698149484180304E-003	1.000000000000000E+000
1.796777954609570E+002	-3.2625735E-001	-2.720879792650711E-003	1.000000000000000E+000
1.804109954424348E+002	-3.2985869E-001	-2.683130708447043E-003	1.000000000000000E+000
1.811443954239076E+002	-3.3348888E-001	-2.790831911180246E-003	1.000000000000000E+000
1.818109954070678E+002	-3.3683315E-001	-2.809077096298358E-003	1.000000000000000E+000
1.824775953902281E+002	-3.4018999E-001	-2.821090448285955E-003	1.000000000000000E+000
1.831441953733884E+002	-3.4350792E-001	-2.831222637203618E-003	1.000000000000000E+000
1.838107953565486E+002	-3.4683552E-001	-2.845937710008503E-003	1.000000000000000E+000
1.844773953397089E+002	-3.5018089E-001	-2.760077298787626E-003	1.000000000000000E+000
1.851440953228666E+002	-3.5350764E-001	-2.873208802444408E-003	1.000000000000000E+000
1.858107953060244E+002	-3.5688156E-001	-2.881159523905535E-003	1.000000000000000E+000
1.864773952891846E+002	-3.6018774E-001	-2.896286039528507E-003	1.000000000000000E+000
